message_index,timestamp1,timestamp2,delta_seconds
1,2026-05-05 11:23:29,2026-05-05 14:04:30,9661.0
2,2026-05-05 14:04:30,2026-05-05 15:07:58,3808.0
3,2026-05-05 15:07:58,2026-05-05 15:51:59,2641.0
4,2026-05-05 15:51:59,2026-05-06 12:34:30,74551.0
5,2026-05-06 12:34:30,2026-05-06 18:23:01,20911.0
6,2026-05-06 18:23:01,2026-05-07 11:18:17,60916.0
7,2026-05-07 11:18:17,2026-05-07 11:19:41,84.0
8,2026-05-07 11:19:41,2026-05-07 19:21:50,28929.0
9,2026-05-07 19:21:50,2026-05-07 19:29:42,472.0
10,2026-05-07 19:29:42,2026-05-07 19:31:48,126.0
11,2026-05-07 19:31:48,2026-05-08 13:42:22,65434.0
12,2026-05-08 13:42:22,2026-05-08 13:44:14,112.0
13,2026-05-08 13:44:14,2026-05-08 19:13:06,19732.0
14,2026-05-08 19:13:06,2026-05-09 15:21:18,72492.0
15,2026-05-09 15:21:18,2026-05-11 14:08:51,168453.0
