message_index,timestamp1,timestamp2,delta_seconds
1,2026-05-05 14:32:01,2026-05-05 14:42:03,602.0
2,2026-05-05 14:42:03,2026-05-05 14:52:34,631.0
3,2026-05-05 14:52:34,2026-05-05 14:56:03,209.0
4,2026-05-05 14:56:03,2026-05-05 15:33:59,2276.0
5,2026-05-05 15:33:59,2026-05-05 15:47:27,808.0
6,2026-05-05 15:47:27,2026-05-05 15:54:56,449.0
7,2026-05-05 15:54:56,2026-05-06 10:44:04,67748.0
8,2026-05-06 10:44:04,2026-05-06 12:25:35,6091.0
9,2026-05-06 12:25:35,2026-05-06 13:18:46,3191.0
10,2026-05-06 13:18:46,2026-05-06 13:29:10,624.0
11,2026-05-06 13:29:10,2026-05-06 13:32:33,203.0
12,2026-05-06 13:32:33,2026-05-06 13:36:17,224.0
13,2026-05-06 13:36:17,2026-05-06 14:22:37,2780.0
14,2026-05-06 14:22:37,2026-05-06 14:52:57,1820.0
15,2026-05-06 14:52:57,2026-05-06 15:48:17,3320.0
16,2026-05-06 15:48:17,2026-05-06 15:55:42,445.0
17,2026-05-06 15:55:42,2026-05-06 16:27:06,1884.0
18,2026-05-06 16:27:06,2026-05-06 19:20:55,10429.0
19,2026-05-06 19:20:55,2026-05-06 19:58:48,2273.0
20,2026-05-06 19:58:48,2026-05-06 20:01:46,178.0
21,2026-05-06 20:01:46,2026-05-06 20:04:54,188.0
22,2026-05-06 20:04:54,2026-05-07 12:59:40,60886.0
23,2026-05-07 12:59:40,2026-05-07 13:50:15,3035.0
24,2026-05-07 13:50:15,2026-05-07 14:04:42,867.0
25,2026-05-07 14:04:42,2026-05-07 14:11:00,378.0
26,2026-05-07 14:11:00,2026-05-07 16:33:24,8544.0
27,2026-05-07 16:33:24,2026-05-07 18:15:33,6129.0
28,2026-05-07 18:15:33,2026-05-07 18:24:23,530.0
29,2026-05-07 18:24:23,2026-05-07 18:38:29,846.0
30,2026-05-07 18:38:29,2026-05-07 18:41:23,174.0
31,2026-05-07 18:41:23,2026-05-07 18:56:53,930.0
32,2026-05-07 18:56:53,2026-05-07 19:11:16,863.0
33,2026-05-07 19:11:16,2026-05-07 19:14:25,189.0
34,2026-05-07 19:14:25,2026-05-07 19:36:22,1317.0
35,2026-05-07 19:36:22,2026-05-08 10:40:52,54270.0
36,2026-05-08 10:40:52,2026-05-08 10:48:42,470.0
37,2026-05-08 10:48:42,2026-05-08 13:10:52,8530.0
38,2026-05-08 13:10:52,2026-05-08 15:10:06,7154.0
39,2026-05-08 15:10:06,2026-05-08 18:14:05,11039.0
40,2026-05-08 18:14:05,2026-05-08 18:33:15,1150.0
41,2026-05-08 18:33:15,2026-05-08 18:51:09,1074.0
42,2026-05-08 18:51:09,2026-05-09 11:02:40,58291.0
43,2026-05-09 11:02:40,2026-05-09 12:16:47,4447.0
44,2026-05-09 12:16:47,2026-05-09 12:19:00,133.0
45,2026-05-09 12:19:00,2026-05-09 12:21:20,140.0
46,2026-05-09 12:21:20,2026-05-09 12:48:36,1636.0
47,2026-05-09 12:48:36,2026-05-09 12:51:26,170.0
48,2026-05-09 12:51:26,2026-05-09 14:10:14,4728.0
49,2026-05-09 14:10:14,2026-05-09 14:13:25,191.0
50,2026-05-09 14:13:25,2026-05-09 16:01:10,6465.0
51,2026-05-09 16:01:10,2026-05-09 18:12:13,7863.0
52,2026-05-09 18:12:13,2026-05-11 10:46:56,146083.0
53,2026-05-11 10:46:56,2026-05-11 11:11:49,1493.0
54,2026-05-11 11:11:49,2026-05-11 11:28:09,980.0
55,2026-05-11 11:28:09,2026-05-11 13:50:45,8556.0
56,2026-05-11 13:50:45,2026-05-11 13:52:51,126.0
57,2026-05-11 13:52:51,2026-05-11 17:47:09,14058.0
