keyword,count
to,15
my,11
the,9
i,8
order,7
a,7
gatemix,6
complete,6
more,5
in,5
is,5
so,5
you,4
of,4
already,4
it,4
commission,4
on,4
orders,4
join,3
about,3
that,3
returns,3
your,3
can,3
just,3
day,3
ive,3
earned,3
today,3
have,3
and,3
too,3
this,3
has,3
k,3
from,3
are,3
for,2
crypto,2
mixing,2
if,2
invest,2
completed,2
friend,2
investment,2
he,2
be,2
started,2
good,2
channel,2
made,2
after,2
now,2
earn,2
even,2
investing,2
income,2
two,2
hey,1
thanks,1
inviting,1
me,1
new,1
group,1
continue,1
learning,1
feel,1
arent,1
meeting,1
needs,1
choose,1
second,1
through,1
thats,1
why,1
process,1
very,1
simple,1
all,1
we,1
do,1
place,1
an,1
wait,1
well,1
receive,1
told,1
might,1
interested,1
hes,1
ready,1
learn,1
third,1
again,1
total,1
morning,1
since,1
joining,1
close,1
plan,1
withdraw,1
completing,1
withdrew,1
platform,1
been,1
credited,1
account,1
feels,1
exciting,1
im,1
going,1
every,1
its,1
actually,1
not,1
hardits,1
youre,1
currently,1
little,1
relatively,1
low,1
earning,1
money,1
matter,1
time,1
withdrawing,1
funds,1
continues,1
generate,1
steady,1
over,1
gatemixs,1
consistent,1
definitely,1
share,1
news,1
with,1
friends,1
they,1
far,1
wont,1
hard,1
earnings,1
truly,1
amazing,1
based,1
current,1
four,1
commissions,1
month,1
first,1
invited,1
small,1
