Keyword,Frequency
investment,3
gatemix,3
it’s,3
been,3
how,2
do,2
has,2
good,2
advice,2
orders,2
me,2
just,2
joined,2
earned,2
order,2
another,2
6,2
start,1
want,1
contact,1
tyler,1
guidance,1
buying,1
cryptocurrency,1
investing,1
friend,1
given,1
any,1
much,1
plan,1
invest,1
oh,1
okay,1
thought,1
were,1
going,1
give,1
some,1
ive,1
started,1
taking,1
again,1
so,1
easy,1
process—it,1
only,1
takes,1
few,1
minutes,1
handle,1
new,1
one,1
congratulations,1
joining,1
great,1
already,1
profit,1
from,1
an,1
afternoon,1
completed,1
5,1
hours,1
i’ll,1
earn,1
thanks,1
manager’s,1
recommendation,1
now,1
way,1
make,1
money,1
week,1
since,1
providing,1
steady,1
income,1
really,1
perfect,1
platform,1
