Keyword,Frequency
cryptocurrency,3
mixing,3
them,3
investment,3
friends,2
money,2
some,2
few,2
give,2
try,2
just,2
invest,2
me,2
usdt,2
transfer,2
no,1
wonder,1
all,1
say,1
its,1
easy,1
make,1
through,1
didnt,1
believe,1
at,1
first,1
reached,1
out,1
who,1
currently,1
investing,1
asked,1
questions,1
about,1
after,1
discussing,1
decided,1
‎this,1
message,1
was,1
edited,1
didn’t,1
offer,1
any,1
specific,1
advice,1
said,1
it’s,1
stable,1
delivers,1
consistent,1
returns,1
regardless,1
amount,1
told,1
according,1
own,1
financial,1
situation—making,1
matter,1
time,1
plan,1
start,1
by,1
purchasing,1
2000,1
hey,1
everyone,1
bought,1
coinbase,1
today,1
cant,1
funds,1
locked,1
what,1
should,1
do,1
okay,1
purchased,1
will,1
available,1
monday,1
unfortunately,1
wont,1
able,1
participate,1
coin,1
process,1
generate,1
profits,1
over,1
next,1
days,1
